State,Cases ,Recovered,Deaths
Andaman and Nicobar Islands,4389,4163,60
Andhra Pradesh,833208,805026,6744
Arunachal Pradesh,15160,13472,43
Assam,207741,198697,934
Bihar,218605,211398,1113
Chandigarh,14702,13802,229
Chhattisgarh,194499,169410,2316
Dadar Nagar Haveli,3262,3228,2
Delhi,409938,365866,6703
Goa,44372,41611,626
Gujarat,176446,160333,3737
Haryana,174082,158136,1836
Himachal Pradesh,23365,19579,355
J & K,96700,89254,1511
Jharkhand,103188,97480,894
Karnataka,835773,788780,11281
Kerala,459646,372951,1587
Ladakh,6553,5772,79
Madhya Pradesh,174091,163250,2987
Maharashta,1698198,1540005,44548
Manipur,19503,15618,187
Meghalaya,9801,8752,90
Mizoram,2958,2435,2
Nagaland,9207,8017,44
Odisha,295889,282073,1364
Puducherry,35429,32703,597
Punjab,135313,126583,4259
Rajasthan,203990,185722,1945
Sikkim,4067,3740,73
Tamil Nadu,734429,704031,11244
Telangana,245682,225664,1362
Tripura,31237,29545,353
UP,489502,459722,7104
Uttarakhand,63585,58729,1038
West Bengal,389576,346262,7068
